Topic,Characteristic,Note,Total,
Mother tongue,          Secwepemctsin (Shuswap),,0,
Mother tongue,          Squamish,,0,
Mother tongue,          Straits,,0,
Mother tongue,          Syilx (Okanagan),,0,
Mother tongue,"          Salish languages, n.i.e.",,0,
Mother tongue,        Siouan languages,,0,
Mother tongue,          Assiniboine,,0,
Mother tongue,          Dakota,,0,
Mother tongue,          Stoney,,0,
Mother tongue,"          Siouan languages, n.i.e.",,0,
Mother tongue,        Tsimshian languages,,0,
Mother tongue,          Gitxsan (Gitksan),,0,
Mother tongue,          Nisga'a,,0,
Mother tongue,          Tsimshian,,0,
Mother tongue,        Wakashan languages,,0,
Mother tongue,          Haisla,,0,
Mother tongue,          Heiltsuk,,0,
Mother tongue,          Kwak'wala (Kwakiutl),,0,
Mother tongue,          Nuu-chah-nulth (Nootka),,0,
Mother tongue,"          Wakashan languages, n.i.e.",,0,
Mother tongue,"        Indigenous languages, n.i.e.",,0,
Mother tongue,"        Indigenous languages, n.o.s.",,0,
Mother tongue,      Non-Indigenous languages,,328120,
Mother tongue,        Afro-Asiatic languages,,37470,
Mother tongue,          Berber languages,,50,
Mother tongue,            Kabyle,,20,
Mother tongue,            Tamazight,,15,
Mother tongue,"            Berber languages, n.i.e.",,15,
Mother tongue,          Chadic languages,,40,
Mother tongue,            Hausa,,35,
Mother tongue,            Mina,,0,
Mother tongue,          Coptic,,155,
Mother tongue,          Cushitic languages,,1070,
Mother tongue,            Bilen,,10,
Mother tongue,            Oromo,,20,
Mother tongue,            Somali,,1025,
Mother tongue,"            Cushitic languages, n.i.e.",,15,
Mother tongue,          Semitic languages,,36160,
Mother tongue,            Amharic,,360,
Mother tongue,            Arabic,,33265,
Mother tongue,            Aramaic languages,,1505,
Mother tongue,              Assyrian Neo-Aramaic,,1030,
Mother tongue,              Chaldean Neo-Aramaic,,375,
Mother tongue,"              Aramaic, n.o.s.",,100,
Mother tongue,            Harari,,40,
Mother tongue,            Hebrew,,50,
Mother tongue,            Maltese,,685,
Mother tongue,            Tigrigna,,235,
Mother tongue,"            Semitic languages, n.i.e.",,10,
Mother tongue,        Austro-Asiatic languages,,10440,
Mother tongue,          Khmer (Cambodian),,75,
Mother tongue,          Vietnamese,,10355,
Mother tongue,"          Austro-Asiatic languages, n.i.e",,10,
Mother tongue,        Austronesian languages,,21720,
Mother tongue,          Bikol,,95,
Mother tongue,"          Bisaya, n.o.s.",,190,
Mother tongue,          Cebuano,,515,
Mother tongue,          Fijian,,5,
Mother tongue,          Hiligaynon,,295,
Mother tongue,          Ilocano,,755,
Mother tongue,          Indonesian,,920,
Mother tongue,          Kankanaey,,15,
Mother tongue,          Kinaray-a,,10,
Mother tongue,          Malagasy languages,,5,
Mother tongue,            Merina,,0,
Mother tongue,"            Malagasy, n.o.s.",,5,
Mother tongue,          Malay,,45,
Mother tongue,"          Pampangan (Kapampangan, Pampango)",,285,
Mother tongue,          Pangasinan,,55,
Mother tongue,"          Tagalog (Pilipino, Filipino)",,18325,
Mother tongue,          Waray-Waray,,65,
Mother tongue,"          Austronesian languages, n.i.e.",,145,
Mother tongue,        Creole languages,,695,
Mother tongue,          Haitian Creole,,50,
Mother tongue,          Jamaican English Creole,,20,
Mother tongue,          Krio,,10,
Mother tongue,          Morisyen,,370,
Mother tongue,          Sango,,0,
Mother tongue,"          Creole, n.o.s.",,125,
Mother tongue,"          Creole languages, n.i.e.",,125,
Mother tongue,        Dravidian languages,,17630,
Mother tongue,          Kannada,,800,
Mother tongue,          Malayalam,,3480,
Mother tongue,          Tamil,,10275,
Mother tongue,          Telugu,,2940,
Mother tongue,          Tulu,,95,
Mother tongue,"          Dravidian languages, n.i.e.",,45,
Mother tongue,        Georgian,,50,
Mother tongue,        Hmong-Mien languages,,0,
Mother tongue,        Indo-European languages,,189030,
Mother tongue,          Albanian,,2485,
Mother tongue,          Armenian,,525,
Mother tongue,          Balto-Slavic languages,,46030,
Mother tongue,            Baltic languages,,540,
Mother tongue,              Latvian,,95,
Mother tongue,              Lithuanian,,450,
Mother tongue,            Slavic languages,,45490,
Mother tongue,              Belarusian,,30,
Mother tongue,              Bulgarian,,990,
Mother tongue,              Czech,,530,
Mother tongue,              Macedonian,,1060,
Mother tongue,              Polish,,22070,
Mother tongue,              Russian,,4615,
Mother tongue,              Rusyn,,10,
Mother tongue,              Serbo-Croatian,,8955,
Mother tongue,                Bosnian,,1125,
Mother tongue,                Croatian,,4075,
Mother tongue,                Serbian,,3645,
Mother tongue,"                Serbo-Croatian, n.i.e.",,110,
Mother tongue,              Slovak,,590,
Mother tongue,              Slovene (Slovenian),,670,
Mother tongue,              Ukrainian,,5960,
Mother tongue,"              Slavic languages, n.i.e.",,10,
Mother tongue,          Celtic languages,,15,
Mother tongue,            Irish,,5,
Mother tongue,            Scottish Gaelic,,5,
Mother tongue,            Welsh,,5,
Mother tongue,"            Celtic languages, n.i.e.",,5,
Mother tongue,          Germanic languages,,3070,
Mother tongue,            Frisian,,5,
Mother tongue,            High German languages,,2215,
Mother tongue,              German,,2170,
Mother tongue,              Pennsylvania German,,0,
Mother tongue,              Swiss German,,45,
Mother tongue,              Yiddish,,0,
Mother tongue,            Low Saxon-Low Franconian languages,,610,
Mother tongue,              Afrikaans,,95,
Mother tongue,              Dutch,,490,
Mother tongue,"              Low German, n.o.s.",,0,
Mother tongue,              Low Saxon,,0,
Mother tongue,              Plautdietsch,,10,
Mother tongue,              Vlaams (Flemish),,15,
Mother tongue,            Scandinavian languages,,240,
Mother tongue,              Danish,,125,
Mother tongue,              Icelandic,,0,
Mother tongue,              Norwegian,,20,
Mother tongue,              Swedish,,95,
Mother tongue,"            Germanic languages, n.i.e.",,5,
Mother tongue,          Greek,,2065,
Mother tongue,          Indo-Iranian languages,,92180,
Mother tongue,            Indo-Aryan languages,,85835,
Mother tongue,              Assamese,,45,
Mother tongue,              Bengali,,4020,
Mother tongue,              Gujarati,,7260,
Mother tongue,              Hindi,,11685,
Mother tongue,              Kacchi,,280,
Mother tongue,              Kashmiri,,75,
Mother tongue,              Konkani,,715,
Mother tongue,              Marathi,,1990,
Mother tongue,              Nepali,,895,
Mother tongue,              Oriya languages,,235,
Mother tongue,                Odia,,155,
Mother tongue,"                Oriya, n.o.s.",,80,
Mother tongue,              Punjabi (Panjabi),,20690,
Mother tongue,              Rohingya,,0,
Mother tongue,              Sindhi,,595,
Mother tongue,              Sinhala (Sinhalese),,1105,
Mother tongue,              Urdu,,35995,
